Epoch,AUC,Accuracy,Best Threshold
1,0.5634425694444445,0.547,0.9998314
2,0.5651132638888889,0.5481666666666667,0.9997432
3,0.5727896944444444,0.5536666666666666,0.99965584
4,0.5809238888888889,0.5600833333333334,0.9997131
5,0.5780725833333333,0.55725,0.9995345
